date,title,category,page
2024-12-30,Inscripción de Asignaturas Semestre de Verano 2025,,0
2025-01-06,Inicio Semestre de Verano 2025,,0
2025-01-13,"Primera etapa inscripción de asignaturas estudiantes primer ciclo, período 2025‐S1",S1,0
2025-01-13,Toma de ramos estudiantes intercambio primer semestre 2025,,0
2025-01-27,Periodo de Exámenes semestre de verano,,0
2025-02-24,Inicio del Primer Semestre 2025,,0
2025-02-24,"Nivelaciones Académicas obligatorias para estudiantes de primer año 2025 que han sido citados (Todas las carreras, no Bachilleratos)",,0
2025-03-03,Inicio actividades Estudiantes de 1er Año 2025 ‐ Bienvenida Formal,,0
2025-03-03,Inicio periodo postulación a programas cortos internacionales de invierno 2025,,0
2025-03-31,Evaluación Docente Temprana Asignaturas Semestrales 2025‐S1 (primer y segundo ciclo),S1,0
2024-12-31,"Último día para que profesores suban notas finales, Segundo Ciclo, período 2024‐B4",B4,0
2025-01-14,"Primera etapa inscripción de asignaturas estudiantes primer ciclo, período 2025‐S1",S1,0
2025-01-14,Último plazo para que profesores suban a Omega Syllabus de asignaturas bimestrales 2025‐B1 y 2025‐B2,"B1,B2",0
2025-01-21,Admisión Regular 2025 ‐ 1era Etapa,,0
2025-01-28,Periodo de Exámenes semestre de verano,,0
2025-02-25,Publicación Listado de Becas de Honor 2025 y mantención becas PLG 2025,,0
2025-02-25,"Nivelaciones Académicas obligatorias para estudiantes de primer año 2025 que han sido citados (Todas las carreras, no Bachilleratos)",,0
2025-03-04,Mechoneo UAI. Estudiantes 1er año 2025,,0
2025-03-11,Bienvenida nuevos estudiantes de doctorado,,0
2025-04-01,Evaluación Docente Temprana Asignaturas Semestrales 2025‐S1 (primer y segundo ciclo),S1,0
2025-01-01,FERIADO LEGAL,,0
2025-01-15,"Primera etapa inscripción de asignaturas 2do Ciclo Ingeniería Civil, período 2025‐S1",S1,0
2025-01-22,Admisión Regular 2025 ‐ 1era Etapa,,0
2025-01-29,Periodo de Exámenes semestre de verano,,0
2025-02-26,"Nivelaciones Académicas obligatorias para estudiantes de primer año 2025 que han sido citados (Todas las carreras, no Bachilleratos)",,0
2025-03-05,Inicio de Clases Primer Semestre Primer y Segundo Ciclo,,0
2025-03-19,Recepción Mechones (suspensión de clases primer ciclo a partir del 4to módulo),,0
2025-03-26,Encuentro con estudiantes de 1er año que recibieron la Beca Total 2025,,0
2025-04-02,Evaluación Docente Temprana Asignaturas Semestrales 2025‐S1 (primer y segundo ciclo),S1,0
2025-04-02,Instancia de Reconocimiento de entrega Becas Honor Académico 2025,,0
2025-04-16,Inauguración Oficial del Año Académico,,0
2025-01-23,Admisión Regular 2025 ‐ 1era Etapa,,0
2025-01-30,Último día para que profesores suban notas finales del semestre de verano a OMEGA,,0
2025-02-27,Welcome Day Estudiantes Intercambio Sede Santiago,,0
2025-02-27,"Nivelaciones Académicas obligatorias para estudiantes de primer año 2025 que han sido citados (Todas las carreras, no Bachilleratos)",,0
